Symbol,Date,Exchange,Open,High,Low,Close,Prev High,Prev Low,Prev Close,GAP%,ATR14,Outstanding Shares,Market Cap,Volume(-1),Volume(-2),Volume(-3),Avg Prev 3 Day Volume,PM Volume,Daily Volume,Volume Open to HOD,Volume HOD to Close,PM Trades,No. Trades,PM Volume / Avg Prev 3 Day Volume,Daily Volume / Avg Prev 3 Day Volume,PM Supply Rotation,Daily Supply Rotation,Supply Rotations Open to HOD,Supply Rotations HOD to Close,Open Time,Time HOD,Time LOD,Minutes Open to HOD,Minutes Open to LOD,Time HOD - LOD,Broke PM High,Broke PM Low,Day
PECK,2020-10-07,NASDAQ,13.04,14.42,10.22,10.5,8.15,6.96,7.26,79.61,11.17,16628992.0,120726481.92,2294628.0,1258078.0,890872.0,1481192.67,3170857.0,24844118.0,3716496.0,14860785.0,12620.0,162827.0,2.14,16.77,0.19,1.49,0.22,0.89,09:30:00,09:04:00,04:11:00,-26.0,-319.0,293.0,False,False,2
AGE,2020-10-08,NYSE,2.24,3.93,2.01,2.48,0.89,0.84,0.84,165.37,3.18,37689000.0,31813284.9,2617080.0,73151.0,75037.0,921756.0,22849715.0,331850754.0,129548045.0,167507161.0,51598.0,1105154.0,24.79,360.02,0.61,8.8,3.44,4.44,09:30:00,10:16:00,05:01:00,46.0,-269.0,315.0,True,False,3
SDPI,2020-10-09,NYSE,0.73,0.92,0.53,0.6,0.51,0.36,0.41,77.06,0.59,25434776.0,10486758.14,1298624.0,76512.0,109038.0,494724.67,1356974.0,15228015.0,2701662.0,10218150.0,2202.0,23122.0,2.74,30.78,0.05,0.6,0.11,0.4,09:30:00,07:45:00,07:00:00,-105.0,-150.0,45.0,False,False,4
SNMP,2020-10-09,NYSE,1.25,1.6,0.72,0.72,0.55,0.29,0.37,237.84,1.34,19953880.0,7382935.6,4906441.0,38742.0,76855.0,1674012.67,31050105.0,121877158.0,10851274.0,72441237.0,47720.0,226522.0,18.55,72.81,1.56,6.11,0.54,3.63,09:30:00,09:39:00,05:45:00,9.0,-225.0,234.0,True,False,4
PED,2020-10-13,NYSE,2.5,2.55,1.64,1.8,1.5,1.31,1.34,86.57,1.53,72463340.0,97100875.6,158685.0,633034.0,1061981.0,617900.0,8166000.0,38878202.0,,28434737.0,23755.0,136817.0,13.22,62.92,0.11,0.54,,0.39,09:30:00,08:47:00,08:03:00,-43.0,-87.0,44.0,False,False,1
HTZ,2020-10-16,NYSE,2.4,2.86,1.67,2.5,1.06,1.01,1.03,133.01,1.85,156206478.0,160892672.34,7280292.0,5117645.0,5890714.0,6096217.0,109632515.0,1032229500.0,30531104.0,844251195.0,162436.0,1486602.0,17.98,169.32,0.7,6.61,0.2,5.4,09:30:00,09:32:00,06:21:00,2.0,-189.0,191.0,True,False,4
SGBX,2020-10-16,NASDAQ,3.63,3.83,2.61,2.73,2.08,1.96,2.02,79.7,2.12,8596189.0,17364301.78,223726.0,636594.0,132994.0,331104.67,18996111.0,61429536.0,4720766.0,33391505.0,59004.0,230754.0,57.37,185.53,2.21,7.15,0.55,3.88,09:30:00,07:57:00,07:00:00,-93.0,-150.0,57.0,False,False,4
ACOR,2020-10-20,NASDAQ,7.32,9.84,5.55,5.77,4.2,4.06,4.14,76.81,6.95,47979115.0,33105589.35,6859807.0,2267863.0,1868534.0,3665401.33,2461073.17,18395439.67,2466214.0,11975952.83,4282.83,32450.83,0.67,5.02,0.05,0.38,0.05,0.25,09:30:00,05:57:00,11:21:00,-213.0,111.0,-324.0,False,True,1
CBLI,2020-10-20,NASDAQ,4.5,5.43,3.08,3.17,2.5,2.15,2.17,107.37,3.57,13336440.0,28940074.8,1836877.0,128909.0,43180.0,669655.33,16764046.0,147802457.0,54681722.0,67590147.0,56522.0,619907.0,25.03,220.71,1.26,11.08,4.1,5.07,09:30:00,10:09:00,04:22:00,39.0,-308.0,347.0,True,False,1
MRIN,2020-10-21,NASDAQ,2.7,5.7,1.88,3.76,1.66,1.23,1.51,78.81,4.52,7115000.0,10743650.0,838224.0,5015.0,16278.0,286505.67,4830756.0,169098826.0,69334823.0,85872691.0,17289.0,593048.0,16.86,590.21,0.68,23.77,9.74,12.07,09:30:00,06:16:00,05:12:00,-194.0,-258.0,64.0,False,False,2
EVK,2020-10-22,NASDAQ,2.56,6.76,2.55,2.6,1.18,1.07,1.15,122.61,5.92,14809160.0,17030534.0,440205.0,42869.0,419296.0,300790.0,4953959.0,149218375.0,84905480.0,51048264.0,16077.0,644165.0,16.47,496.09,0.33,10.08,5.73,3.45,09:30:00,11:11:00,08:02:00,101.0,-88.0,189.0,True,False,3
SCKT,2020-10-23,NASDAQ,3.79,4.5,2.41,2.55,1.58,1.39,1.46,159.59,3.27,6050655.0,8833956.3,5966942.0,880648.0,67172.0,2304920.67,27077673.0,170926890.0,33956820.0,99963036.0,87914.0,716213.0,11.75,74.16,4.48,28.25,5.61,16.52,09:30:00,09:54:00,04:00:00,24.0,-330.0,354.0,True,False,4
LLIT,2020-10-26,NASDAQ,5.74,5.88,4.01,4.53,3.5,3.06,3.25,76.61,2.85,45415693.0,18434229.79,2161041.0,1469785.0,4025851.0,2552225.67,7029782.0,38540096.0,,28262457.0,25072.0,168936.0,2.75,15.1,0.15,0.85,,0.62,09:30:00,07:05:00,13:07:00,-145.0,217.0,-362.0,False,True,0
GOED,2020-10-27,NYSE,16.22,17.75,8.27,8.27,7.81,6.5,6.91,134.73,11.25,6111200.0,42228392.0,281959.0,3041.0,1968.0,95656.0,2195942.0,13644238.0,,9318385.0,12192.0,105480.0,22.96,142.64,0.36,2.23,,1.52,09:30:00,04:47:00,15:51:00,-283.0,381.0,-664.0,False,True,1
MGEN,2020-10-28,NASDAQ,17.32,20.55,12.3,18.9,7.8,7.46,7.8,122.16,13.47,57074478.0,29673021.11,1060164.0,816412.0,1266717.0,1047764.33,2490082.07,17798409.93,12187356.73,2550954.87,3444.33,27037.4,2.38,16.99,0.04,0.31,0.21,0.04,09:30:00,07:27:00,05:03:00,-123.0,-267.0,144.0,False,False,2
KXIN,2020-11-05,NASDAQ,5.04,5.05,3.53,3.77,3.28,2.76,2.77,81.95,10.65,59150341.0,163846444.57,1184958.0,1057316.0,1443175.0,1228483.0,14816107.0,45590646.0,,27074289.0,48178.0,195869.0,12.06,37.11,0.25,0.77,,0.46,09:30:00,09:04:00,04:56:00,-26.0,-274.0,248.0,False,False,3
AMC,2020-11-09,NYSE,4.27,4.39,3.23,3.77,2.62,2.33,2.49,71.49,2.28,85624174.0,213204193.26,9049450.0,8056242.0,7609137.0,8238276.33,15743337.0,132512707.0,,111921379.0,33546.0,342599.0,1.91,16.09,0.18,1.55,,1.31,09:30:00,08:22:00,04:00:00,-68.0,-330.0,262.0,False,False,0
SNDL,2020-11-09,NASDAQ,5.89,6.0,3.61,4.58,5.4,2.48,2.5,135.6,4.62,251627435.0,62906858.75,752252437.0,146651881.0,44237200.0,314380506.0,14795660.0,75682635.6,,55368694.9,9268.4,64859.3,0.05,0.24,0.06,0.3,,0.22,09:30:00,05:14:00,13:43:00,-256.0,253.0,-509.0,False,True,0
FPRX,2020-11-11,NASDAQ,22.51,24.0,16.63,18.0,5.63,5.14,5.34,321.54,19.5,38037666.0,203121136.44,7275801.0,626603.0,143137.0,2681847.0,9511199.0,79395045.0,6540460.0,52794666.0,32670.0,495976.0,3.55,29.6,0.25,2.09,0.17,1.39,09:30:00,07:27:00,10:51:00,-123.0,81.0,-204.0,False,True,2
IMAC,2020-11-12,NASDAQ,1.62,2.54,1.41,1.52,0.83,0.78,0.83,94.48,1.78,11839972.0,9862696.68,779233.0,38828.0,111975.0,310012.0,7617769.0,95750928.0,18738726.0,63944348.0,20347.0,314632.0,24.57,308.86,0.64,8.09,1.58,5.4,09:30:00,05:23:00,04:13:00,-247.0,-317.0,70.0,False,False,3
UROV,2020-11-13,NASDAQ,15.98,16.08,15.98,16.02,8.34,7.89,8.28,93.0,8.93,31659870.0,262143723.6,573219.0,39951.0,66868.0,226679.33,1400466.0,10330909.0,4545269.0,4090857.0,984.0,22023.0,6.18,45.57,0.04,0.33,0.14,0.13,09:30:00,08:36:00,04:05:00,-54.0,-325.0,271.0,False,False,4
LXRX,2020-11-17,NASDAQ,2.25,2.38,1.71,1.81,1.31,1.25,1.29,74.42,1.35,117474808.0,151542502.32,592858.0,551824.0,421072.0,521918.0,22844876.0,102548731.0,,72316061.0,41888.0,236403.0,43.77,196.48,0.19,0.87,,0.62,09:30:00,09:30:00,04:00:00,0.0,-330.0,330.0,True,False,1
FTEK,2020-11-24,NASDAQ,6.07,7.04,4.33,6.04,2.87,1.58,2.82,115.25,6.33,24701159.0,69657268.38,41015655.0,5779021.0,1714692.0,16169789.33,16278158.0,142991054.0,3837330.0,112620493.0,53043.0,542154.0,1.01,8.84,0.66,5.79,0.16,4.56,09:30:00,09:32:00,04:26:00,2.0,-304.0,306.0,True,False,1
MTC,2020-11-25,NASDAQ,24.8,27.7,20.0,20.1,12.4,10.8,12.0,106.67,18.1,20070000.0,24084000.0,1327106.0,506071.0,237290.0,690155.67,1719847.3,14222071.2,2401062.1,9548426.5,4191.1,41638.2,2.49,20.61,0.09,0.71,0.12,0.48,09:30:00,09:43:00,04:25:00,13.0,-305.0,318.0,True,False,2
WORX,2020-11-27,NASDAQ,2.43,2.63,2.06,2.22,1.29,1.16,1.25,94.4,1.6,9861731.0,12327163.75,4558334.0,949816.0,455326.0,1987825.33,17581190.0,84468360.0,26844931.0,36109015.0,43967.0,254338.0,8.84,42.49,1.78,8.57,2.72,3.66,09:30:00,08:05:00,04:00:00,-85.0,-330.0,245.0,False,False,4
CAAS,2020-11-30,NASDAQ,7.5,10.5,5.72,10.5,4.05,3.7,3.83,95.82,7.65,30851776.0,118162302.08,155664.0,344028.0,789831.0,429841.0,5177949.0,93876644.0,77509250.0,,19509.0,468156.0,12.05,218.4,0.17,3.04,2.51,,09:30:00,15:59:00,07:00:00,389.0,-150.0,539.0,True,False,0
NAOV,2020-12-02,NASDAQ,17.9,23.4,10.1,11.0,7.47,6.7,7.09,152.5,17.9,13393653.0,9494760.61,1439956.0,3615024.0,4290339.0,3115106.33,3651181.1,17765572.0,812324.4,12627770.2,7524.8,42435.6,1.17,5.7,0.27,1.33,0.06,0.94,09:30:00,09:41:00,04:02:00,11.0,-328.0,339.0,True,False,2
EVK,2020-12-03,NASDAQ,5.77,8.3,4.75,5.25,2.1,1.97,2.1,174.76,6.59,14809160.0,31099236.0,4937132.0,115021.0,126410.0,1726187.67,13699732.0,108010531.0,39515258.0,47555395.0,63419.0,524430.0,7.94,62.57,0.93,7.29,2.67,3.21,09:30:00,11:37:00,04:00:00,127.0,-330.0,457.0,True,False,3
HGSH,2020-12-04,NASDAQ,4.03,5.4,2.5,2.58,1.77,1.47,1.76,128.98,4.11,22525000.0,39644000.0,2643514.0,87122.0,25465.0,918700.33,11560024.0,122530926.0,40738551.0,62329844.0,35437.0,570456.0,12.58,133.37,0.51,5.44,1.81,2.77,09:30:00,10:11:00,15:57:00,41.0,387.0,-346.0,True,True,4
